,Error,Feature,Value
227,longdesc_invalid,alt_spacer,0.5263157894736842
228,longdesc_invalid,fieldset,0.039097744360902256
229,longdesc_invalid,label,0.7157894736842105
230,longdesc_invalid,lang,2.4120300751879697
231,longdesc_invalid,link_skip,0.09172932330827067
232,longdesc_invalid,link_skip_target,0.081203007518797
233,longdesc_invalid,longdesc,1.3353383458646617
234,marquee,alt,3.461514360313316
235,marquee,alt_area,0.018798955613577025
236,marquee,alt_input,0.06537859007832898
237,marquee,alt_link,15.79780678851175
238,marquee,alt_map,0.04240208877284595
239,marquee,alt_null,4.8502349869451695
240,marquee,alt_spacer,0.5499738903394256
241,marquee,fieldset,0.031122715404699738
242,marquee,label,0.5125848563968668
243,marquee,lang,0.7561357702349869
244,marquee,link_skip,0.03091383812010444
245,marquee,link_skip_target,0.03164490861618799
246,marquee,longdesc,0.03718015665796345
247,meta_refresh,alt,4.2778644479112495
248,meta_refresh,alt_area,0.023054255503553476
249,meta_refresh,alt_input,0.037961518460738426
250,meta_refresh,alt_link,29.494539781591264
251,meta_refresh,alt_map,0.03865487952851447
252,meta_refresh,alt_null,5.630785231409257
253,meta_refresh,alt_spacer,0.6117178020454151
254,meta_refresh,fieldset,0.053215461951811406
255,meta_refresh,label,1.188247529901196
256,meta_refresh,lang,0.47096550528687814
257,meta_refresh,link_skip,0.020974172300225344
258,meta_refresh,link_skip_target,0.02080083203328133
259,meta_refresh,longdesc,0.022534234702721444
260,server_image_map,alt,
261,server_image_map,alt_area,
262,server_image_map,alt_input,
263,server_image_map,alt_link,
264,server_image_map,alt_map,
265,server_image_map,alt_null,
266,server_image_map,alt_spacer,
267,server_image_map,fieldset,
268,server_image_map,label,
269,server_image_map,lang,
270,server_image_map,link_skip,
271,server_image_map,link_skip_target,
272,server_image_map,longdesc,
273,th_empty,alt,6.588832487309645
274,th_empty,alt_area,0.0450507614213198
275,th_empty,alt_input,0.05805837563451777
276,th_empty,alt_link,15.391497461928934
277,th_empty,alt_map,0.07772842639593909
278,th_empty,alt_null,10.561230964467006
279,th_empty,alt_spacer,0.7560279187817259
280,th_empty,fieldset,0.08629441624365482
281,th_empty,label,3.8746827411167515
282,th_empty,lang,0.38451776649746194
283,th_empty,link_skip,0.07487309644670051
284,th_empty,link_skip_target,0.07804568527918782
285,th_empty,longdesc,0.05298223350253807
286,title_invalid,alt,0.925829908314891
287,title_invalid,alt_area,0.0030983243755927916
288,title_invalid,alt_input,0.017009168510907367
289,title_invalid,alt_link,3.1504268099905155
290,title_invalid,alt_map,0.011318368637369586
291,title_invalid,alt_null,1.5529560543787544
292,title_invalid,alt_spacer,0.12443882390135946
293,title_invalid,fieldset,0.010496364211191907
294,title_invalid,label,0.3919696490673411
295,title_invalid,lang,0.1525766677205185
296,title_invalid,link_skip,0.04596901675624407
297,title_invalid,link_skip_target,0.0466645589630098
298,title_invalid,longdesc,0.001833702181473285
